Product Name,Category Name,total_units_sold,total_orders,avg_price,first_order,last_order,daily_velocity,simulated_inventory,days_remaining,risk_flag
Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,10,10,599.9899902,2017-09-29 17:10:00,2017-10-01 22:25:00,0.009,0.0,0.0,CRITICAL
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,804,273,31.989999769999997,2015-01-01 04:54:00,2017-04-21 04:57:00,0.714,8.0,11.2,AT RISK
Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,8,8,599.9899902,2017-09-30 09:58:00,2017-10-02 05:04:00,0.007,0.0,0.0,CRITICAL
CDs of rock,CDs ,246,246,11.289999960000001,2017-10-08 05:25:00,2017-12-21 01:27:00,0.218,2.0,9.2,AT RISK
Diamondback Boys' Insight 24 Performance Hybr,Basketball,25,25,299.9899902,2017-09-11 12:38:00,2017-09-29 06:18:00,0.022,0.0,0.0,CRITICAL
Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,31,31,299.9899902,2017-09-11 15:05:00,2017-09-29 09:27:00,0.028,0.0,0.0,CRITICAL
Glove It Urban Brick Golf Towel,Trade-In,778,268,15.98999977,2015-01-01 15:24:00,2017-04-18 15:38:00,0.691,8.0,11.6,AT RISK
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,818,273,17.98999977,2015-01-03 07:21:00,2017-04-21 06:21:00,0.726,10.0,13.8,AT RISK
LIJA Women's Argyle Golf Polo,Golf Shoes,171,58,80.0,2017-04-24 11:04:00,2017-09-08 14:34:00,0.152,2.0,13.2,AT RISK
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,19847,19847,129.9900055,2015-01-01 00:21:00,2017-10-02 11:43:00,17.626,215.0,12.2,AT RISK
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,791,263,30.0,2015-01-03 01:02:00,2017-04-21 14:45:00,0.702,7.0,10.0,AT RISK
Nike Women's Tempo Shorts,Cardio Equipment,815,287,30.0,2015-01-04 00:52:00,2017-04-22 18:26:00,0.724,10.0,13.8,AT RISK
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,173,52,89.98999786,2017-04-25 04:35:00,2017-09-10 20:10:00,0.154,1.0,6.5,CRITICAL
SOLE E25 Elliptical,Basketball,10,10,999.9899902,2017-09-30 04:22:00,2017-10-02 11:01:00,0.009,0.0,0.0,CRITICAL
SOLE E35 Elliptical,Strength Training,12,12,1999.98999,2017-09-29 21:22:00,2017-10-02 12:25:00,0.011,0.0,0.0,CRITICAL
Sports Books ,Books ,359,359,31.07999992,2017-10-02 12:46:00,2017-12-17 05:40:00,0.319,4.0,12.5,AT RISK
Team Golf Tennessee Volunteers Putter Grip,Accessories,809,264,24.98999977,2015-01-01 12:36:00,2017-04-11 15:28:00,0.718,10.0,13.9,AT RISK
Titleist Small Wheeled Travel Cover,Golf Gloves,41,41,249.9900055,2017-04-26 15:37:00,2017-09-10 10:21:00,0.036,0.0,0.0,CRITICAL
Top Flite Women's 2014 XL Hybrid,Golf Apparel,798,276,19.98999977,2015-01-06 19:26:00,2017-04-21 14:03:00,0.709,9.0,12.7,AT RISK
Total Gym 1400,Cleats,34,34,299.9899902,2017-09-11 11:35:00,2017-09-29 02:27:00,0.03,0.0,0.0,CRITICAL
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,754,254,54.97000122,2015-01-08 23:17:00,2017-04-22 19:50:00,0.67,8.0,11.9,AT RISK
